optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
random,40,"(1, 2, 4, 4, 4, 0)","(2, 1, 0, 1, 3, 1)",99.964,90.25,90.25,7.456931948661804,0.8762000000000001,,,1.178214959
random,41,"(3, 2, 3, 4, 1, 2)","(2, 1, 0, 1, 3, 1)",99.964,90.25,90.25,7.456931948661804,0.8959,,,1.200542209
random,42,"(3, 2, 1, 4, 1, 0)","(2, 1, 0, 1, 3, 1)",99.964,90.25,90.25,7.456931948661804,0.8832,,,1.2230808340000001
random,43,"(2, 3, 0, 1, 2, 3)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.9064,,,1.2453888749999997
random,44,"(3, 1, 0, 1, 0, 4)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.8642,,,1.3541192090000003
random,45,"(0, 3, 4, 2, 3, 4)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.8571,,,1.3767817500000001
random,46,"(3, 3, 3, 2, 2, 3)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.8873000000000001,,,1.3993188750000005
random,47,"(2, 3, 2, 3, 2, 0)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.9007999999999999,,,1.421910542
random,48,"(3, 1, 3, 4, 0, 0)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.8542000000000001,,,1.443883542
random,49,"(4, 3, 1, 4, 0, 2)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.8578,,,1.4661462089999997
random,50,"(0, 3, 4, 1, 0, 1)","(2, 3, 0, 1, 2, 3)",99.984,90.64,90.64,11.231087962786356,0.7696,,,1.4887247920000002
re,1,"(4, 0, 3, 3, 3, 1)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8681,,,0.15648116699999992
