optimizer,epoch,train_acc,val_acc,test_acc,train_time,wall_time_sec,best_arch
re,60,99.984,90.9,90.9,12.176835040251413,3.263145417,"(3, 3, 0, 2, 4, 2)"
re,61,99.984,90.9,90.9,12.176835040251413,3.299668708,"(3, 3, 0, 2, 4, 2)"
re,62,99.984,90.9,90.9,12.176835040251413,3.336498375,"(3, 3, 0, 2, 4, 2)"
re,63,99.984,90.9,90.9,12.176835040251413,3.373393583,"(3, 3, 0, 2, 4, 2)"
re,64,99.984,90.9,90.9,12.176835040251413,3.411949208,"(3, 3, 0, 2, 4, 2)"
re,65,99.984,90.9,90.9,12.176835040251413,3.4486871249999997,"(3, 3, 0, 2, 4, 2)"
re,66,99.984,90.9,90.9,12.176835040251413,3.4870049170000006,"(3, 3, 0, 2, 4, 2)"
re,67,99.984,90.9,90.9,12.176835040251413,3.525451583,"(3, 3, 0, 2, 4, 2)"
re,68,99.984,90.9,90.9,12.176835040251413,3.5644439580000005,"(3, 3, 0, 2, 4, 2)"
re,69,99.984,90.9,90.9,12.176835040251413,3.6031434580000004,"(3, 3, 0, 2, 4, 2)"
re,70,99.984,90.9,90.9,12.176835040251413,3.641809,"(3, 3, 0, 2, 4, 2)"
re,71,99.984,90.9,90.9,12.176835040251413,3.680456042,"(3, 3, 0, 2, 4, 2)"
re,72,99.988,91.12,91.12,13.375130673249561,3.719486458,"(2, 3, 0, 2, 3, 3)"
re,73,99.988,91.12,91.12,13.375130673249561,3.75798125,"(2, 3, 0, 2, 3, 3)"
re,74,99.988,91.12,91.12,13.375130673249561,3.795128208,"(2, 3, 0, 2, 3, 3)"
re,75,99.988,91.12,91.12,13.375130673249561,3.831959292,"(2, 3, 0, 2, 3, 3)"
re,76,99.988,91.12,91.12,13.375130673249561,3.8689936670000002,"(2, 3, 0, 2, 3, 3)"
re,77,99.988,91.12,91.12,13.375130673249561,3.906473208,"(2, 3, 0, 2, 3, 3)"
re,78,99.988,91.12,91.12,13.375130673249561,4.320977042000001,"(2, 3, 0, 2, 3, 3)"
re,79,99.988,91.12,91.12,13.375130673249561,4.358147583000001,"(2, 3, 0, 2, 3, 3)"
re,80,99.984,91.22,91.22,11.234563171863556,4.394604083000001,"(2, 3, 0, 2, 1, 3)"
re,81,99.984,91.22,91.22,11.234563171863556,4.430593083,"(2, 3, 0, 2, 1, 3)"
re,82,99.984,91.22,91.22,11.234563171863556,4.468518000000001,"(2, 3, 0, 2, 1, 3)"
re,83,99.984,91.22,91.22,11.234563171863556,4.506059542000001,"(2, 3, 0, 2, 1, 3)"
re,84,99.984,91.22,91.22,11.234563171863556,4.543154708000001,"(2, 3, 0, 2, 1, 3)"
re,85,99.984,91.22,91.22,11.234563171863556,4.580550833,"(2, 3, 0, 2, 1, 3)"
re,86,99.984,91.22,91.22,11.234563171863556,4.617071458,"(2, 3, 0, 2, 1, 3)"
re,87,99.984,91.22,91.22,11.234563171863556,4.653528000000001,"(2, 3, 0, 2, 1, 3)"
re,88,99.984,91.22,91.22,11.234563171863556,4.690154833000001,"(2, 3, 0, 2, 1, 3)"
re,89,99.984,91.22,91.22,11.234563171863556,4.727234167000001,"(2, 3, 0, 2, 1, 3)"
re,90,99.984,91.22,91.22,11.234563171863556,4.766716333,"(2, 3, 0, 2, 1, 3)"
re,91,99.984,91.22,91.22,11.234563171863556,4.803011708000001,"(2, 3, 0, 2, 1, 3)"
re,92,99.984,91.22,91.22,11.234563171863556,4.8399675,"(2, 3, 0, 2, 1, 3)"
re,93,99.984,91.22,91.22,11.234563171863556,4.879868042,"(2, 3, 0, 2, 1, 3)"
re,94,99.984,91.22,91.22,11.234563171863556,4.9168498750000005,"(2, 3, 0, 2, 1, 3)"
re,95,99.984,91.22,91.22,11.234563171863556,4.954772458000001,"(2, 3, 0, 2, 1, 3)"
re,96,99.984,91.22,91.22,11.234563171863556,4.991724458,"(2, 3, 0, 2, 1, 3)"
re,97,99.984,91.22,91.22,11.234563171863556,5.028832000000001,"(2, 3, 0, 2, 1, 3)"
re,98,99.984,91.22,91.22,11.234563171863556,5.0663905830000004,"(2, 3, 0, 2, 1, 3)"
re,99,99.984,91.22,91.22,11.234563171863556,5.103605667,"(2, 3, 0, 2, 1, 3)"
re,100,99.984,91.22,91.22,11.234563171863556,5.141256667,"(2, 3, 0, 2, 1, 3)"
bananas,1,99.116,86.81,86.81,9.658029774824778,0.03609579199999935,"(4, 0, 3, 3, 3, 1)"
bananas,2,99.116,86.81,86.81,9.658029774824778,0.07328479199999904,"(4, 0, 3, 3, 3, 1)"
bananas,3,99.116,86.81,86.81,9.658029774824778,0.10979024999999965,"(4, 0, 3, 3, 3, 1)"
bananas,4,99.116,86.81,86.81,9.658029774824778,0.14669587499999892,"(4, 0, 3, 3, 3, 1)"
bananas,5,99.964,90.21,90.21,10.839458545049032,0.18191654199999974,"(2, 3, 0, 1, 3, 3)"
bananas,6,99.964,90.21,90.21,10.839458545049032,0.21701562500000016,"(2, 3, 0, 1, 3, 3)"
bananas,7,99.964,90.21,90.21,10.839458545049032,0.25236170900000054,"(2, 3, 0, 1, 3, 3)"
bananas,8,99.964,90.21,90.21,10.839458545049032,0.2887174169999991,"(2, 3, 0, 1, 3, 3)"
bananas,9,99.964,90.21,90.21,10.839458545049032,0.44815591699999935,"(2, 3, 0, 1, 3, 3)"
