optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
re,40,"(2, 3, 0, 2, 4, 1)","(2, 3, 0, 2, 4, 2)",99.996,90.38,90.38,12.74846355120341,0.8779,,,3.394386292
re,41,"(3, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.909,,,3.4523269580000004
re,42,"(2, 3, 0, 2, 4, 4)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9003,,,3.510419583
re,43,"(0, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8587,,,3.5691637500000004
re,44,"(2, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9078,,,3.627306667
re,45,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,3.6858910830000005
re,46,"(2, 3, 1, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8943000000000001,,,3.745067583
re,47,"(2, 3, 0, 2, 0, 3)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9079999999999999,,,4.071969667
re,48,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,4.130539042
re,49,"(2, 3, 0, 2, 0, 1)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8828,,,4.188051708
re,50,"(4, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8613,,,4.246911875
bananas,1,"(4, 0, 3, 3, 3, 1)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8681,,,0.05681412499999983
bananas,2,"(3, 2, 4, 0, 0, 4)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8473999999999999,,,0.11329441699999965
bananas,3,"(2, 1, 0, 1, 1, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8401000000000001,,,0.17041262499999998
bananas,4,"(1, 4, 3, 0, 3, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8436,,,0.22789787499999914
bananas,5,"(2, 3, 0, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9020999999999999,,,0.284895957999999
bananas,6,"(3, 0, 1, 1, 1, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8439,,,0.45296170799999924
bananas,7,"(2, 4, 3, 3, 2, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8802,,,0.509891582999999
bananas,8,"(2, 0, 0, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8298000000000001,,,0.566525207999999
bananas,9,"(1, 4, 1, 2, 2, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7182,,,0.6233720830000005
bananas,10,"(2, 3, 0, 3, 4, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8815999999999999,,,0.6804108330000007
bananas,11,"(4, 4, 4, 0, 4, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7447,,,7.193355791999999
bananas,12,"(3, 2, 3, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8968,,,7.215268333
bananas,13,"(3, 2, 2, 0, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8931,,,7.236989042
bananas,14,"(3, 2, 3, 2, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9005,,,7.258794292
bananas,15,"(2, 3, 1, 0, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8819,,,7.280945332999999
bananas,16,"(2, 3, 1, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8861,,,7.471551833
bananas,17,"(3, 4, 3, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8831,,,7.493647416999999
bananas,18,"(2, 3, 4, 0, 4, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8712000000000001,,,7.515583416999999
bananas,19,"(3, 4, 3, 0, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8818,,,7.537613417
bananas,20,"(3, 2, 2, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8898999999999999,,,7.5592060000000005
bananas,21,"(4, 3, 0, 1, 0, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8501000000000001,,,14.208489874999998
bananas,22,"(2, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.903,,,14.231000625
bananas,23,"(3, 3, 0, 1, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8718,,,14.252419
bananas,24,"(3, 1, 0, 3, 0, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8706,,,14.274176375
bananas,25,"(4, 1, 0, 3, 0, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8343,,,14.296317249999998
bananas,26,"(3, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8934000000000001,,,14.318416749999997
bananas,27,"(4, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8654999999999999,,,14.340124457999998
bananas,28,"(0, 4, 3, 3, 4, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.86,,,14.361833999999998
bananas,29,"(1, 3, 0, 1, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8364,,,14.383896374999999
bananas,30,"(1, 3, 0, 3, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8384,,,14.405787292
bananas,31,"(3, 4, 0, 1, 4, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8676,,,22.212691707999998
bananas,32,"(2, 3, 0, 1, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9089,,,22.236116083
bananas,33,"(3, 4, 0, 3, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8733,,,22.515062083
bananas,34,"(3, 0, 1, 3, 0, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8694,,,22.540618207999998
bananas,35,"(3, 4, 0, 1, 0, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8706999999999999,,,22.566059791999997
bananas,36,"(3, 4, 0, 0, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8740000000000001,,,22.591309582999997
bananas,37,"(3, 1, 0, 2, 0, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8996,,,22.617075832999998
bananas,38,"(3, 4, 0, 3, 3, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8829,,,22.643048333
bananas,39,"(3, 0, 1, 3, 4, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8711,,,22.669358416999998
bananas,40,"(3, 4, 0, 2, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8916,,,22.696120167
bananas,41,"(2, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.903,,,31.403348291999997
bananas,42,"(4, 1, 0, 2, 3, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.853,,,31.427906166999996
bananas,43,"(2, 4, 3, 0, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8848,,,31.453251375
bananas,44,"(2, 0, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9074,,,31.478946708000002
bananas,45,"(3, 1, 0, 2, 3, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8922,,,31.50347275
bananas,46,"(2, 3, 0, 1, 2, 4)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9067000000000001,,,31.528696583
bananas,47,"(2, 4, 0, 4, 2, 2)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9063,,,31.553740124999997
bananas,48,"(3, 1, 0, 2, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8935,,,31.5787745
bananas,49,"(2, 0, 0, 4, 2, 2)","(2, 0, 0, 4, 2, 2)",99.996,90.92,90.92,10.922529677549997,0.9092,,,31.603495707999997
bananas,50,"(4, 2, 0, 2, 3, 1)","(2, 0, 0, 4, 2, 2)",99.996,90.92,90.92,10.922529677549997,0.8532,,,31.628658875
rl,1,"(4, 3, 2, 0, 0, 0)","(4, 3, 2, 0, 0, 0)",92.58399997558594,82.9,82.9,7.625387211640675,0.8290000000000001,-0.0961923748254776,9.619237899780273,0.04701141700000022
rl,2,"(3, 1, 2, 3, 0, 2)","(3, 1, 2, 3, 0, 2)",99.948,88.84,88.84,11.369333028793335,0.8884000000000001,0.4775083363056183,9.609906196594238,0.07339604199999883
rl,3,"(4, 2, 0, 0, 3, 1)","(3, 1, 2, 3, 0, 2)",99.948,88.84,88.84,11.369333028793335,0.8553000000000001,0.09457436203956604,9.625190734863281,0.10001129200000491
rl,4,"(2, 3, 0, 1, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.9052,0.5534489750862122,9.61496639251709,0.12668816700000463
